date,amount,description
2027-10-03,-1000,Electricity bill
2027-11-07,2500,Client payment
2027-11-01,5000,Salary payment
2027-12-02,-3000,Rent payment
2028-01-05,-200,Grocery shopping
2028-03-03,-1000,Electricity bill
2028-04-07,2500,Client payment
2028-04-01,5000,Salary payment
2028-05-02,-3000,Rent payment
2028-06-05,-200,Grocery shopping
2028-08-03,-1000,Electricity bill
2028-09-07,2500,Client payment
2028-09-01,5000,Salary payment
2028-10-02,-3000,Rent payment
2028-11-05,-200,Grocery shopping
2029-01-03,-1000,Electricity bill
2029-02-07,2500,Client payment
2029-02-01,5000,Salary payment
2029-03-02,-3000,Rent payment
2029-04-05,-200,Grocery shopping
2029-06-03,-1000,Electricity bill
2029-07-07,2500,Client payment
2029-07-01,5000,Salary payment
2029-08-02,-3000,Rent payment
2029-09-05,-200,Grocery shopping
2029-11-03,-1000,Electricity bill
2029-12-07,2500,Client payment
2029-12-01,5000,Salary payment
2030-01-02,-3000,Rent payment
2030-02-05,-200,Grocery shopping
2030-04-03,-1000,Electricity bill
2030-05-07,2500,Client payment
2030-05-01,5000,Salary payment
2030-06-02,-3000,Rent payment
2030-07-05,-200,Grocery shopping
2030-09-03,-1000,Electricity bill
2030-10-07,2500,Client payment
2030-10-01,5000,Salary payment
2030-11-02,-3000,Rent payment
2030-12-05,-200,Grocery shopping
2031-02-03,-1000,Electricity bill
2031-03-07,2500,Client payment
2031-03-01,5000,Salary payment
2031-04-02,-3000,Rent payment
2031-05-05,-200,Grocery shopping
2031-07-03,-1000,Electricity bill
2031-08-07,2500,Client payment
2031-08-01,5000,Salary payment
2031-09-02,-3000,Rent payment
2031-10-05,-200,Grocery shopping
2031-12-03,-1000,Electricity bill
2032-01-07,2500,Client payment
2032-01-01,5000,Salary payment
2032-02-02,-3000,Rent payment
2032-03-05,-200,Grocery shopping
2032-05-03,-1000,Electricity bill
2032-06-07,2500,Client payment
2032-06-01,5000,Salary payment
2032-07-02,-3000,Rent payment
2032-08-05,-200,Grocery shopping
2032-10-03,-1000,Electricity bill
2032-11-07,2500,Client payment
2032-11-01,5000,Salary payment
2032-12-02,-3000,Rent payment
2033-01-05,-200,Grocery shopping
2033-03-03,-1000,Electricity bill
2033-04-07,2500,Client payment
2033-04-01,5000,Salary payment
2033-05-02,-3000,Rent payment
2033-06-05,-200,Grocery shopping
2033-08-03,-1000,Electricity bill
2033-09-07,2500,Client payment
2033-09-01,5000,Salary payment
2033-10-02,-3000,Rent payment
2033-11-05,-200,Grocery shopping
2034-01-03,-1000,Electricity bill
2034-02-07,2500,Client payment
2034-02-01,5000,Salary payment
2034-03-02,-3000,Rent payment
2034-04-05,-200,Grocery shopping
2034-06-03,-1000,Electricity bill
2034-07-07,2500,Client payment
2034-07-01,5000,Salary payment
2034-08-02,-3000,Rent payment
2034-09-05,-200,Grocery shopping
2034-11-03,-1000,Electricity bill
2034-12-07,2500,Client payment
2034-12-01,5000,Salary payment
2035-01-02,-3000,Rent payment
2035-02-05,-200,Grocery shopping
2035-04-03,-1000,Electricity bill
2035-05-07,2500,Client payment
2035-05-01,5000,Salary payment
2035-06-02,-3000,Rent payment
2035-07-05,-200,Grocery shopping
2035-09-03,-1000,Electricity bill
2035-10-07,2500,Client payment
2035-10-01,5000,Salary payment
2035-11-02,-3000,Rent payment
2035-12-05,-200,Grocery shopping
2036-02-03,-1000,Electricity bill
2036-03-07,2500,Client payment
2036-03-01,5000,Salary payment
2036-04-02,-3000,Rent payment
2036-05-05,-200,Grocery shopping
2036-07-03,-1000,Electricity bill
2036-08-07,2500,Client payment
2036-08-01,5000,Salary payment
2036-09-02,-3000,Rent payment
2036-10-05,-200,Grocery shopping
2036-12-03,-1000,Electricity bill
2037-01-07,2500,Client payment
2037-01-01,5000,Salary payment
2037-02-02,-3000,Rent payment
2037-03-05,-200,Grocery shopping
2037-05-03,-1000,Electricity bill
2037-06-07,2500,Client payment
2037-06-01,5000,Salary payment
2037-07-02,-3000,Rent payment
2037-08-05,-200,Grocery shopping
2037-10-03,-1000,Electricity bill
2037-11-07,2500,Client payment
2037-11-01,5000,Salary payment
2037-12-02,-3000,Rent payment
2038-01-05,-200,Grocery shopping
2038-03-03,-1000,Electricity bill
2038-04-07,2500,Client payment
2038-04-01,5000,Salary payment
2038-05-02,-3000,Rent payment
2038-06-05,-200,Grocery shopping
2038-08-03,-1000,Electricity bill
2038-09-07,2500,Client payment
2038-09-01,5000,Salary payment
2038-10-02,-3000,Rent payment
2038-11-05,-200,Grocery shopping
2039-01-03,-1000,Electricity bill
2039-02-07,2500,Client payment
2039-02-01,5000,Salary payment
2039-03-02,-3000,Rent payment
2039-04-05,-200,Grocery shopping
2039-06-03,-1000,Electricity bill
2039-07-07,2500,Client payment
2039-07-01,5000,Salary payment
2039-08-02,-3000,Rent payment
2039-09-05,-200,Grocery shopping
2039-11-03,-1000,Electricity bill
2039-12-07,2500,Client payment
2039-12-01,5000,Salary payment
2040-01-02,-3000,Rent payment
2040-02-05,-200,Grocery shopping
2040-04-03,-1000,Electricity bill
2040-05-07,2500,Client payment
2040-05-01,5000,Salary payment
2040-06-02,-3000,Rent payment
2040-07-05,-200,Grocery shopping
2040-09-03,-1000,Electricity bill
2040-10-07,2500,Client payment
2040-10-01,5000,Salary payment
2040-11-02,-3000,Rent payment
2040-12-05,-200,Grocery shopping
2041-02-03,-1000,Electricity bill
2041-03-07,2500,Client payment
2041-03-01,5000,Salary payment
2041-04-02,-3000,Rent payment
2041-05-05,-200,Grocery shopping
2041-07-03,-1000,Electricity bill
2041-08-07,2500,Client payment
2041-08-01,5000,Salary payment
2041-09-02,-3000,Rent payment
2041-10-05,-200,Grocery shopping
2041-12-03,-1000,Electricity bill
2042-01-07,2500,Client payment
2042-01-01,5000,Salary payment
2042-02-02,-3000,Rent payment
2042-03-05,-200,Grocery shopping
2042-05-03,-1000,Electricity bill
2042-06-07,2500,Client payment
2042-06-01,5000,Salary payment
2042-07-02,-3000,Rent payment
2042-08-05,-200,Grocery shopping
2042-10-03,-1000,Electricity bill
2042-11-07,2500,Client payment
2042-11-01,5000,Salary payment
2042-12-02,-3000,Rent payment
2043-01-05,-200,Grocery shopping
2043-03-03,-1000,Electricity bill
2043-04-07,2500,Client payment
2043-04-01,5000,Salary payment
2043-05-02,-3000,Rent payment
2043-06-05,-200,Grocery shopping
2043-08-03,-1000,Electricity bill
2043-09-07,2500,Client payment
2043-09-01,5000,Salary payment
2043-10-02,-3000,Rent payment
2043-11-05,-200,Grocery shopping
2044-01-03,-1000,Electricity bill
2044-02-07,2500,Client payment
2044-02-01,5000,Salary payment
2044-03-02,-3000,Rent payment
2044-04-05,-200,Grocery shopping
2044-06-03,-1000,Electricity bill
2044-07-07,2500,Client payment
2044-07-01,5000,Salary payment
2044-08-02,-3000,Rent payment
2044-09-05,-200,Grocery shopping
2044-11-03,-1000,Electricity bill
2044-12-07,2500,Client payment
2044-12-01,5000,Salary payment
2045-01-02,-3000,Rent payment
2045-02-05,-200,Grocery shopping
2045-04-03,-1000,Electricity bill
2045-05-07,2500,Client payment
2045-05-01,5000,Salary payment
2045-06-02,-3000,Rent payment
2045-07-05,-200,Grocery shopping
2045-09-03,-1000,Electricity bill
2045-10-07,2500,Client payment
2045-10-01,5000,Salary payment
2045-11-02,-3000,Rent payment
2045-12-05,-200,Grocery shopping
2046-02-03,-1000,Electricity bill
2046-03-07,2500,Client payment
2046-03-01,5000,Salary payment
2046-04-02,-3000,Rent payment
2046-05-05,-200,Grocery shopping
2046-07-03,-1000,Electricity bill
2046-08-07,2500,Client payment
2046-08-01,5000,Salary payment
2046-09-02,-3000,Rent payment
2046-10-05,-200,Grocery shopping
2046-12-03,-1000,Electricity bill
2047-01-07,2500,Client payment
2047-01-01,5000,Salary payment
2047-02-02,-3000,Rent payment
2047-03-05,-200,Grocery shopping
2047-05-03,-1000,Electricity bill
2047-06-07,2500,Client payment
2047-06-01,5000,Salary payment
2047-07-02,-3000,Rent payment
2047-08-05,-200,Grocery shopping
2047-10-03,-1000,Electricity bill
2047-11-07,2500,Client payment
2047-11-01,5000,Salary payment
2047-12-02,-3000,Rent payment
2048-01-05,-200,Grocery shopping
2048-03-03,-1000,Electricity bill
2048-04-07,2500,Client payment
2048-04-01,5000,Salary payment
2048-05-02,-3000,Rent payment
2048-06-05,-200,Grocery shopping
2048-08-03,-1000,Electricity bill
2048-09-07,2500,Client payment
2048-09-01,5000,Salary payment
2048-10-02,-3000,Rent payment
2048-11-05,-200,Grocery shopping
2049-01-03,-1000,Electricity bill
2049-02-07,2500,Client payment
2049-02-01,5000,Salary payment
2049-03-02,-3000,Rent payment
2049-04-05,-200,Grocery shopping
2049-06-03,-1000,Electricity bill
2049-07-07,2500,Client payment
2049-07-01,5000,Salary payment
2049-08-02,-3000,Rent payment
2049-09-05,-200,Grocery shopping
2049-11-03,-1000,Electricity bill
2049-12-07,2500,Client payment
2049-12-01,5000,Salary payment
2050-01-02,-3000,Rent payment
2050-02-05,-200,Grocery shopping
2050-04-03,-1000,Electricity bill
2050-05-07,2500,Client payment
2050-05-01,5000,Salary payment
2050-06-02,-3000,Rent payment
2050-07-05,-200,Grocery shopping
2050-09-03,-1000,Electricity bill
2050-10-07,2500,Client payment
2050-10-01,5000,Salary payment
2050-11-02,-3000,Rent payment
2050-12-05,-200,Grocery shopping
2051-02-03,-1000,Electricity bill
2051-03-07,2500,Client payment
2051-03-01,5000,Salary payment
2051-04-02,-3000,Rent payment
2051-05-05,-200,Grocery shopping
2051-07-03,-1000,Electricity bill
2051-08-07,2500,Client payment
2051-08-01,5000,Salary payment
2051-09-02,-3000,Rent payment
2051-10-05,-200,Grocery shopping
2051-12-03,-1000,Electricity bill
2052-01-07,2500,Client payment
2052-01-01,5000,Salary payment
2052-02-02,-3000,Rent payment
2052-03-05,-200,Grocery shopping
2052-05-03,-1000,Electricity bill
2052-06-07,2500,Client payment
2052-06-01,5000,Salary payment
2052-07-02,-3000,Rent payment
2052-08-05,-200,Grocery shopping
2052-10-03,-1000,Electricity bill
2052-11-07,2500,Client payment
2052-11-01,5000,Salary payment
2052-12-02,-3000,Rent payment
2053-01-05,-200,Grocery shopping
2053-03-03,-1000,Electricity bill
2053-04-07,2500,Client payment
2053-04-01,5000,Salary payment
2053-05-02,-3000,Rent payment
2053-06-05,-200,Grocery shopping
2053-08-03,-1000,Electricity bill
2053-09-07,2500,Client payment
2053-09-01,5000,Salary payment
2053-10-02,-3000,Rent payment
2053-11-05,-200,Grocery shopping
2054-01-03,-1000,Electricity bill
2054-02-07,2500,Client payment
2054-02-01,5000,Salary payment
2054-03-02,-3000,Rent payment
2054-04-05,-200,Grocery shopping
2054-06-03,-1000,Electricity bill
2054-07-07,2500,Client payment
2054-07-01,5000,Salary payment
2054-08-02,-3000,Rent payment
2054-09-05,-200,Grocery shopping
2054-11-03,-1000,Electricity bill
2054-12-07,2500,Client payment
2054-12-01,5000,Salary payment
2055-01-02,-3000,Rent payment
2055-02-05,-200,Grocery shopping
2055-04-03,-1000,Electricity bill
2055-05-07,2500,Client payment
2055-05-01,5000,Salary payment
2055-06-02,-3000,Rent payment
2055-07-05,-200,Grocery shopping
2055-09-03,-1000,Electricity bill
2055-10-07,2500,Client payment
2055-10-01,5000,Salary payment
2055-11-02,-3000,Rent payment
2055-12-05,-200,Grocery shopping
2056-02-03,-1000,Electricity bill
2056-03-07,2500,Client payment
2056-03-01,5000,Salary payment
2056-04-02,-3000,Rent payment
2056-05-05,-200,Grocery shopping
2056-07-03,-1000,Electricity bill
2056-08-07,2500,Client payment
2056-08-01,5000,Salary payment
2056-09-02,-3000,Rent payment
2056-10-05,-200,Grocery shopping
2056-12-03,-1000,Electricity bill
2057-01-07,2500,Client payment
2057-01-01,5000,Salary payment
2057-02-02,-3000,Rent payment
2057-03-05,-200,Grocery shopping
2057-05-03,-1000,Electricity bill
2057-06-07,2500,Client payment
2057-06-01,5000,Salary payment
2057-07-02,-3000,Rent payment
2057-08-05,-200,Grocery shopping
2057-10-03,-1000,Electricity bill
2057-11-07,2500,Client payment
2057-11-01,5000,Salary payment
2057-12-02,-3000,Rent payment
2058-01-05,-200,Grocery shopping
2058-03-03,-1000,Electricity bill
2058-04-07,2500,Client payment
2058-04-01,5000,Salary payment
2058-05-02,-3000,Rent payment
2058-06-05,-200,Grocery shopping
2058-08-03,-1000,Electricity bill
2058-09-07,2500,Client payment
2058-09-01,5000,Salary payment
2058-10-02,-3000,Rent payment
2058-11-05,-200,Grocery shopping
2059-01-03,-1000,Electricity bill
2059-02-07,2500,Client payment
2059-02-01,5000,Salary payment
2059-03-02,-3000,Rent payment
2059-04-05,-200,Grocery shopping
2059-06-03,-1000,Electricity bill
2059-07-07,2500,Client payment
2059-07-01,5000,Salary payment
2059-08-02,-3000,Rent payment
2059-09-05,-200,Grocery shopping
2059-11-03,-1000,Electricity bill
2059-12-07,2500,Client payment
2059-12-01,5000,Salary payment
2060-01-02,-3000,Rent payment
2060-02-05,-200,Grocery shopping
2060-04-03,-1000,Electricity bill
2060-05-07,2500,Client payment
2060-05-01,5000,Salary payment
2060-06-02,-3000,Rent payment
2060-07-05,-200,Grocery shopping
2060-09-03,-1000,Electricity bill
2060-10-07,2500,Client payment
2060-10-01,5000,Salary payment
2060-11-02,-3000,Rent payment
2060-12-05,-200,Grocery shopping
2061-02-03,-1000,Electricity bill
2061-03-07,2500,Client payment
2061-03-01,5000,Salary payment
2061-04-02,-3000,Rent payment
2061-05-05,-200,Grocery shopping
2061-07-03,-1000,Electricity bill
2061-08-07,2500,Client payment
2061-08-01,5000,Salary payment
2061-09-02,-3000,Rent payment
2061-10-05,-200,Grocery shopping
2061-12-03,-1000,Electricity bill
2062-01-07,2500,Client payment
2062-01-01,5000,Salary payment
2062-02-02,-3000,Rent payment
2062-03-05,-200,Grocery shopping
2062-05-03,-1000,Electricity bill
2062-06-07,2500,Client payment
2062-06-01,5000,Salary payment
2062-07-02,-3000,Rent payment
2062-08-05,-200,Grocery shopping
2062-10-03,-1000,Electricity bill
2062-11-07,2500,Client payment
2062-11-01,5000,Salary payment
2062-12-02,-3000,Rent payment
2063-01-05,-200,Grocery shopping
2063-03-03,-1000,Electricity bill
2063-04-07,2500,Client payment
2063-04-01,5000,Salary payment
2063-05-02,-3000,Rent payment
2063-06-05,-200,Grocery shopping
2063-08-03,-1000,Electricity bill
2063-09-07,2500,Client payment
2063-09-01,5000,Salary payment
2063-10-02,-3000,Rent payment
2063-11-05,-200,Grocery shopping
2064-01-03,-1000,Electricity bill
2064-02-07,2500,Client payment
2064-02-01,5000,Salary payment
2064-03-02,-3000,Rent payment
2064-04-05,-200,Grocery shopping
2064-06-03,-1000,Electricity bill
2064-07-07,2500,Client payment
2064-07-01,5000,Salary payment
2064-08-02,-3000,Rent payment
2064-09-05,-200,Grocery shopping
2064-11-03,-1000,Electricity bill
2064-12-07,2500,Client payment
2064-12-01,5000,Salary payment
2065-01-02,-3000,Rent payment
2065-02-05,-200,Grocery shopping
2065-04-03,-1000,Electricity bill
2065-05-07,2500,Client payment
2065-05-01,5000,Salary payment
2065-06-02,-3000,Rent payment
2065-07-05,-200,Grocery shopping
2065-09-03,-1000,Electricity bill
2065-10-07,2500,Client payment
2065-10-01,5000,Salary payment
2065-11-02,-3000,Rent payment
2065-12-05,-200,Grocery shopping
2066-02-03,-1000,Electricity bill
2066-03-07,2500,Client payment
2066-03-01,5000,Salary payment
2066-04-02,-3000,Rent payment
2066-05-05,-200,Grocery shopping
2066-07-03,-1000,Electricity bill
2066-08-07,2500,Client payment
2066-08-01,5000,Salary payment
2066-09-02,-3000,Rent payment
2066-10-05,-200,Grocery shopping
2066-12-03,-1000,Electricity bill
2067-01-07,2500,Client payment
2067-01-01,5000,Salary payment
2067-02-02,-3000,Rent payment
2067-03-05,-200,Grocery shopping
2067-05-03,-1000,Electricity bill
2067-06-07,2500,Client payment
2067-06-01,5000,Salary payment
2067-07-02,-3000,Rent payment
2067-08-05,-200,Grocery shopping
2067-10-03,-1000,Electricity bill
2067-11-07,2500,Client payment
2067-11-01,5000,Salary payment
2067-12-02,-3000,Rent payment
2068-01-05,-200,Grocery shopping
2068-03-03,-1000,Electricity bill
2068-04-07,2500,Client payment
2068-04-01,5000,Salary payment
2068-05-02,-3000,Rent payment
2068-06-05,-200,Grocery shopping
2068-08-03,-1000,Electricity bill
2068-09-07,2500,Client payment
2068-09-01,5000,Salary payment
2068-10-02,-3000,Rent payment
2068-11-05,-200,Grocery shopping
2069-01-03,-1000,Electricity bill
2069-02-07,2500,Client payment
2069-02-01,5000,Salary payment
2069-03-02,-3000,Rent payment
2069-04-05,-200,Grocery shopping
2069-06-03,-1000,Electricity bill
2069-07-07,2500,Client payment
2069-07-01,5000,Salary payment
2069-08-02,-3000,Rent payment
2069-09-05,-200,Grocery shopping
2069-11-03,-1000,Electricity bill
2069-12-07,2500,Client payment
2069-12-01,5000,Salary payment
2070-01-02,-3000,Rent payment
2070-02-05,-200,Grocery shopping
2070-04-03,-1000,Electricity bill
2070-05-07,2500,Client payment
2070-05-01,5000,Salary payment
2070-06-02,-3000,Rent payment
2070-07-05,-200,Grocery shopping
2070-09-03,-1000,Electricity bill
2070-10-07,2500,Client payment
2070-10-01,5000,Salary payment
2070-11-02,-3000,Rent payment
2070-12-05,-200,Grocery shopping
2071-02-03,-1000,Electricity bill
2071-03-07,2500,Client payment
2071-03-01,5000,Salary payment
2071-04-02,-3000,Rent payment
2071-05-05,-200,Grocery shopping
2071-07-03,-1000,Electricity bill
2071-08-07,2500,Client payment
2071-08-01,5000,Salary payment
2071-09-02,-3000,Rent payment
2071-10-05,-200,Grocery shopping
2071-12-03,-1000,Electricity bill
2072-01-07,2500,Client payment
2072-01-01,5000,Salary payment
2072-02-02,-3000,Rent payment
2072-03-05,-200,Grocery shopping
2072-05-03,-1000,Electricity bill
2072-06-07,2500,Client payment
2072-06-01,5000,Salary payment
2072-07-02,-3000,Rent payment
2072-08-05,-200,Grocery shopping
2072-10-03,-1000,Electricity bill
2072-11-07,2500,Client payment
2072-11-01,5000,Salary payment
2072-12-02,-3000,Rent payment
2073-01-05,-200,Grocery shopping
2073-03-03,-1000,Electricity bill
2073-04-07,2500,Client payment
2073-04-01,5000,Salary payment
2073-05-02,-3000,Rent payment
2073-06-05,-200,Grocery shopping
2073-08-03,-1000,Electricity bill
2073-09-07,2500,Client payment
2073-09-01,5000,Salary payment
2073-10-02,-3000,Rent payment
2073-11-05,-200,Grocery shopping
2074-01-03,-1000,Electricity bill
2074-02-07,2500,Client payment
2074-02-01,5000,Salary payment
2074-03-02,-3000,Rent payment
2074-04-05,-200,Grocery shopping
2074-06-03,-1000,Electricity bill
2074-07-07,2500,Client payment
2074-07-01,5000,Salary payment
2074-08-02,-3000,Rent payment
2074-09-05,-200,Grocery shopping
2074-11-03,-1000,Electricity bill
2074-12-07,2500,Client payment
2074-12-01,5000,Salary payment
2075-01-02,-3000,Rent payment
2075-02-05,-200,Grocery shopping
2075-04-03,-1000,Electricity bill
2075-05-07,2500,Client payment
2075-05-01,5000,Salary payment
2075-06-02,-3000,Rent payment
2075-07-05,-200,Grocery shopping
2075-09-03,-1000,Electricity bill
2075-10-07,2500,Client payment
2075-10-01,5000,Salary payment
2075-11-02,-3000,Rent payment
2075-12-05,-200,Grocery shopping
2076-02-03,-1000,Electricity bill
2076-03-07,2500,Client payment
2076-03-01,5000,Salary payment
2076-04-02,-3000,Rent payment
2076-05-05,-200,Grocery shopping
2076-07-03,-1000,Electricity bill
2076-08-07,2500,Client payment
2076-08-01,5000,Salary payment
2076-09-02,-3000,Rent payment
2076-10-05,-200,Grocery shopping
2076-12-03,-1000,Electricity bill
2077-01-07,2500,Client payment
2077-01-01,5000,Salary payment
2077-02-02,-3000,Rent payment
2077-03-05,-200,Grocery shopping
2077-05-03,-1000,Electricity bill
2077-06-07,2500,Client payment
2077-06-01,5000,Salary payment
2077-07-02,-3000,Rent payment
2077-08-05,-200,Grocery shopping
2077-10-03,-1000,Electricity bill
2077-11-07,2500,Client payment
2077-11-01,5000,Salary payment
2077-12-02,-3000,Rent payment
2078-01-05,-200,Grocery shopping
2078-03-03,-1000,Electricity bill
2078-04-07,2500,Client payment
2078-04-01,5000,Salary payment
2078-05-02,-3000,Rent payment
2078-06-05,-200,Grocery shopping
2078-08-03,-1000,Electricity bill
2078-09-07,2500,Client payment
2078-09-01,5000,Salary payment
2078-10-02,-3000,Rent payment
2078-11-05,-200,Grocery shopping
2079-01-03,-1000,Electricity bill
2079-02-07,2500,Client payment
2079-02-01,5000,Salary payment
2079-03-02,-3000,Rent payment
2079-04-05,-200,Grocery shopping
2079-06-03,-1000,Electricity bill
2079-07-07,2500,Client payment
2079-07-01,5000,Salary payment
2079-08-02,-3000,Rent payment
2079-09-05,-200,Grocery shopping
2079-11-03,-1000,Electricity bill
2079-12-07,2500,Client payment
2079-12-01,5000,Salary payment
2080-01-02,-3000,Rent payment
2080-02-05,-200,Grocery shopping
2080-04-03,-1000,Electricity bill
2080-05-07,2500,Client payment
2080-05-01,5000,Salary payment
2080-06-02,-3000,Rent payment
2080-07-05,-200,Grocery shopping
2080-09-03,-1000,Electricity bill
2080-10-07,2500,Client payment
2080-10-01,5000,Salary payment
2080-11-02,-3000,Rent payment
2080-12-05,-200,Grocery shopping
2081-02-03,-1000,Electricity bill
2081-03-07,2500,Client payment
2081-03-01,5000,Salary payment
2081-04-02,-3000,Rent payment
2081-05-05,-200,Grocery shopping
2081-07-03,-1000,Electricity bill
2081-08-07,2500,Client payment
2081-08-01,5000,Salary payment
2081-09-02,-3000,Rent payment
2081-10-05,-200,Grocery shopping
2081-12-03,-1000,Electricity bill
2082-01-07,2500,Client payment
2082-01-01,5000,Salary payment
2082-02-02,-3000,Rent payment
2082-03-05,-200,Grocery shopping
2082-05-03,-1000,Electricity bill
2082-06-07,2500,Client payment
2082-06-01,5000,Salary payment
2082-07-02,-3000,Rent payment
2082-08-05,-200,Grocery shopping
2082-10-03,-1000,Electricity bill
2082-11-07,2500,Client payment
2082-11-01,5000,Salary payment
2082-12-02,-3000,Rent payment
2083-01-05,-200,Grocery shopping
2083-03-03,-1000,Electricity bill
2083-04-07,2500,Client payment
2083-04-01,5000,Salary payment
2083-05-02,-3000,Rent payment
2083-06-05,-200,Grocery shopping
2083-08-03,-1000,Electricity bill
2083-09-07,2500,Client payment
2083-09-01,5000,Salary payment
2083-10-02,-3000,Rent payment
2083-11-05,-200,Grocery shopping
2084-01-03,-1000,Electricity bill
2084-02-07,2500,Client payment
2084-02-01,5000,Salary payment
2084-03-02,-3000,Rent payment
2084-04-05,-200,Grocery shopping
2084-06-03,-1000,Electricity bill
2084-07-07,2500,Client payment
2084-07-01,5000,Salary payment
2084-08-02,-3000,Rent payment
2084-09-05,-200,Grocery shopping
2084-11-03,-1000,Electricity bill
2084-12-07,2500,Client payment
2084-12-01,5000,Salary payment
2085-01-02,-3000,Rent payment
2085-02-05,-200,Grocery shopping
2085-04-03,-1000,Electricity bill
2085-05-07,2500,Client payment
2085-05-01,5000,Salary payment
2085-06-02,-3000,Rent payment
2085-07-05,-200,Grocery shopping
2085-09-03,-1000,Electricity bill
2085-10-07,2500,Client payment
2085-10-01,5000,Salary payment
2085-11-02,-3000,Rent payment
2085-12-05,-200,Grocery shopping
2086-02-03,-1000,Electricity bill
2086-03-07,2500,Client payment
2086-03-01,5000,Salary payment
2086-04-02,-3000,Rent payment
2086-05-05,-200,Grocery shopping
2086-07-03,-1000,Electricity bill
2086-08-07,2500,Client payment
2086-08-01,5000,Salary payment
2086-09-02,-3000,Rent payment
2086-10-05,-200,Grocery shopping
2086-12-03,-1000,Electricity bill
2087-01-07,2500,Client payment
2087-01-01,5000,Salary payment
2087-02-02,-3000,Rent payment
2087-03-05,-200,Grocery shopping
2087-05-03,-1000,Electricity bill
2087-06-07,2500,Client payment
2087-06-01,5000,Salary payment
2087-07-02,-3000,Rent payment
2087-08-05,-200,Grocery shopping
2087-10-03,-1000,Electricity bill
2087-11-07,2500,Client payment
2087-11-01,5000,Salary payment
2087-12-02,-3000,Rent payment
2088-01-05,-200,Grocery shopping
2088-03-03,-1000,Electricity bill
2088-04-07,2500,Client payment
2088-04-01,5000,Salary payment
2088-05-02,-3000,Rent payment
2088-06-05,-200,Grocery shopping
2088-08-03,-1000,Electricity bill
2088-09-07,2500,Client payment
2088-09-01,5000,Salary payment
2088-10-02,-3000,Rent payment
2088-11-05,-200,Grocery shopping
2089-01-03,-1000,Electricity bill
2089-02-07,2500,Client payment
2089-02-01,5000,Salary payment
2089-03-02,-3000,Rent payment
2089-04-05,-200,Grocery shopping
2089-06-03,-1000,Electricity bill
2089-07-07,2500,Client payment
2089-07-01,5000,Salary payment
2089-08-02,-3000,Rent payment
2089-09-05,-200,Grocery shopping
2089-11-03,-1000,Electricity bill
2089-12-07,2500,Client payment
2089-12-01,5000,Salary payment
2090-01-02,-3000,Rent payment
2090-02-05,-200,Grocery shopping
2090-04-03,-1000,Electricity bill
2090-05-07,2500,Client payment
2090-05-01,5000,Salary payment
2090-06-02,-3000,Rent payment
2090-07-05,-200,Grocery shopping
2090-09-03,-1000,Electricity bill
2090-10-07,2500,Client payment
2090-10-01,5000,Salary payment
2090-11-02,-3000,Rent payment
2090-12-05,-200,Grocery shopping
2091-02-03,-1000,Electricity bill
2091-03-07,2500,Client payment
2091-03-01,5000,Salary payment
2091-04-02,-3000,Rent payment
